
****

ttH - DONE SR, fake, flip

Oct19v1_MC_2016_ttHJetToNonbb --> 11469,3314,9570
Oct19v1_MC_2016_ttH_ctcvcp --> 6898,2205,6496 
Oct19v1_MC_2016_THQ_ctcvcp --> 2718,718,1649 
Oct19v1_MC_2016_THW_ctcvcp --> 4437,1136,3800 

Oct19v1_MC_2017_ttHJetToNonbb --> 17369,5651,15818 
Oct19v1_MC_2017_THQ_ctcvcp --> 2973,992,1872 
Oct19v3_MC_2017_THW_ctcvcp --> 4111,1139,3631 
Oct19v1_MC_2017_TTH_ctcvcp --> 7330,2472,7456 

Oct19v2_MC_2018_ttHJetToNonbb --> 15496,5369,12888 
Oct19v2_MC_2018_TTH_ctcvcp --> 19584,7204,18808 
Oct19v1_MC_2018_THQ_ctcvcp --> 8549,2805,5084 
Oct19v1_MC_2018_THW_ctcvcp --> 13137,3961,11503 

****

ttV - DONE SR, fake, flip

Oct19v1_MC_2016_TTZToLLNuNu_M-10_ext2 --> 5967,1793,5270 
Oct19v1_MC_2016_TTZToLLNuNu_M-10_ext3 --> 6014,1791,5389 
Oct19v1_MC_2016_TTZToLL_M-1to10 --> 66,44,49 
Oct19v1_MC_2016_TTWJetsToLNu --> 4218,926,2704 
Oct19v1_MC_2016_TTWW --> 215,42,184 

Oct19v1_MC_2017_TTZToLLNuNu_M-10 --> 10148,3333,9377 
Oct19v1_MC_2017_TTZToLLNuNu_M-10_PS --> 13788,4568,13149 
Oct19v1_MC_2017_TTZToLL_M-1to10 --> 94,57,72 
Oct19v1_MC_2017_TTWJetsToLNu --> 10552,2671,7117 
Oct19v1_MC_2017_TTWJetsToLNu_PS --> 10113,2496,6748 
Oct19v1_MC_2017_TTWW --> 500,120,465 

Oct19v1_MC_2018_TTZToLLNuNu_M-10 --> 15279,5454,13777 
Oct19v1_MC_2018_TTZToLL_M-1to10 --> 78,47,59 
Oct19v1_MC_2018_TTWJetsToLNu --> 9261,2443,6078 
Oct19v1_MC_2018_TTWW_ext1 --> 441,106,419 
Oct19v1_MC_2018_TTWW_ext2 --> 1974,529,1688 

****

Rares - DONE SR, fake, flip

Oct19v1_MC_2016_WWW --> 7,2,6 
Oct19v1_MC_2016_WWZ --> 12,3,15 
Oct19v1_MC_2016_WZZ --> 20,7,11 
Oct19v1_MC_2016_ZZZ --> 4,1,3 
Oct19v1_MC_2016_WZG --> 2,0,2 
Oct19v1_MC_2016_WGToLNuG_ext1 --> 0,0,0 
Oct19v1_MC_2016_WGToLNuG_ext2 --> 0,0,0 
Oct19v1_MC_2016_WGToLNuG_ext3 --> 0,0,1 
Oct19v1_MC_2016_ZGTo2LG --> 1,2,40 
Oct19v1_MC_2016_TGJets_leptonDecays --> 28,21,26 
Oct19v1_MC_2016_TTGJets --> 86,86,607 
Oct19v1_MC_2016_TTGJets_ext1 --> 109,147,1068 
Oct19v2_MC_2016_tZq_ll --> 10207,3080,6386 
Oct19v1_MC_2016_tZq_ll_PS --> 11170,3442,7073 
Oct19v1_MC_2016_WpWpJJ --> 28,6,0 
Oct19v2_MC_2016_WWTo2L2Nu_DoubleScattering --> 2,1,0 
Oct19v1_MC_2016_TTTT --> 540,150,474 

Oct19v1_MC_2017_WWW --> 11,3,11 
Oct19v1_MC_2017_WWZ --> 7,2,12 
Oct19v2_MC_2017_WZZ --> 14,11,12 
Oct19v2_MC_2017_ZZZ --> 3,2,7 
Oct19v1_MC_2017_WZG --> 3,1,0 
Oct19v1_MC_2017_WGToLNuG --> 0,0,2 
Oct19v1_MC_2017_ZGToLLG --> 3,6,123 
Oct19v1_MC_2017_TGJets --> 14,27,17 
Oct19v1_MC_2017_TTGJets --> 112,158,1172 
Oct19v1_MC_2017_TTGJets_ext1 --> 146,184,1336 
Oct19v1_MC_2017_tZq_ll --> 15603,5379,10767 
Oct19v2_MC_2017_WpWpJJ --> 31,8,0 
Oct19v1_MC_2017_WWTo2L2Nu_DoubleScattering --> 4,2,2 
Oct19v1_MC_2017_TTTT --> 2752,759,2511 
Oct19v1_MC_2017_TTTT_PS --> 6252,1671,5652 

Oct19v2_MC_2018_WWW --> 7,2,8 
Oct19v2_MC_2018_WWZ --> 7,3,7 
Oct19v1_MC_2018_WZZ --> 10,12,9 
Oct19v1_MC_2018_ZZZ --> 8,2,4 
Oct19v1_MC_2018_WZG --> 2,1,2 
Oct19v1_MC_2018_WGToLNuG --> 0,0,0 
Oct19v2_MC_2018_ZGToLLG --> 3,7,127 
Oct19v1_MC_2018_TGJets --> 19,25,21 
Oct19v1_MC_2018_TTGJets --> 69,93,584 
Oct19v1_MC_2018_tZq_ll --> 14041,5423,9337 
Oct19v1_MC_2018_WpWpJJ --> 23,4,0 
Oct19v1_MC_2018_WWTo2L2Nu_DoubleScattering --> 1,0,3 
Oct19v1_MC_2018_TTTT --> 5921,1791,5266 

****

EWK - DONE SR, fake, flip

Oct19v1_MC_2016_DYJetsToLL_M-10to50 --> 0,0,1 
Oct19v1_MC_2016_DYJetsToLL_M-50 --> 0,6,68 
Oct19v1_MC_2016_WJetsToLNu_ext2 --> 0,0,0 
Oct19v1_MC_2016_WJetsToLNu --> 0,0,0 
Oct19v1_MC_2016_WWTo2L2Nu --> 0,0,10 
Oct19v1_MC_2016_WZTo3LNu --> 564,156,304 
Oct19v1_MC_2016_ZZTo4L --> 70,37,83 

Oct19v1_MC_2017_DYJetsToLL_M-10to50 --> 0,0,0 
Oct19v1_MC_2017_DYJetsToLL_M-10to50_ext1 --> 0,0,0 
Oct19v1_MC_2017_DYJetsToLL_M-50 --> 0,0,44 
Oct19v3_MC_2017_DYJetsToLL_M-50_ext1 --> 0,1,40 
Oct19v2_MC_2017_WJetsToLNu --> 0,0,0 
Oct19v1_MC_2017_WJetsToLNu_ext1 --> 0,1,0 
Oct19v2_MC_2017_WWTo2L2Nu --> 0,0,8 
Oct19v1_MC_2017_WWTo2L2Nu_ext1 --> 0,0,18 
Oct19v1_MC_2017_WZTo3LNu --> 579,203,298 
Oct19v1_MC_2017_ZZTo4L --> 97,44,106 
Oct19v1_MC_2017_ZZTo4L_ext1 --> 1385,638,1547 
Oct19v2_MC_2017_ZZTo4L_ext2 --> 70,31,74 

Oct19v3_MC_2018_DYJetsToLL_M-10to50 --> 0,0,3 
Oct19v2_MC_2018_DYJetsToLL_M-50 --> 0,0,0 
Oct19v3_MC_2018_DYJetsToLL_M-50_ext2 --> 0,1,26 
Oct19v2_MC_2018_WJetsToLNu --> 0,0,0 
Oct19v3_MC_2018_WWTo2L2Nu --> 1,1,43 
Oct19v1_MC_2018_WZTo3LNu --> 430,170,235 
Oct19v2_MC_2018_WZTo3LNu_ext1 --> 454,162,256 
Oct19v2_MC_2018_ZZTo4L --> 56,41,78 
Oct19v4_MC_2018_ZZTo4L_ext2 --> 513,252,671 

****

ttbar - DONE SR, fake, flip

Oct19v1_MC_2016_ST_s-channel --> 0,0,0 
Oct19v1_MC_2016_ST_s-channel_PS --> 1,4,0 
Oct19v1_MC_2016_ST_t-channel_top --> 1,7,1 
Oct19v1_MC_2016_ST_t-channel_antitop --> 2,9,0 
Oct19v1_MC_2016_ST_t-channel_antitop_PS --> 2,8,0 
Oct19v1_MC_2016_ST_tW_top --> 2,13,139 
Oct19v1_MC_2016_ST_tW_antitop --> 0,22,149 
Oct19v1_MC_2016_ST_tWll --> 127,58,96 
Oct19v1_MC_2016_TTJets_DiLept_ext1 --> 93,578,9892 
Oct19v1_MC_2016_TTJets_DiLept --> 36,183,3076 
Oct19v2_MC_2016_TTJets_SingleLeptFromT_ext1 --> 24,159,13 
Oct19v1_MC_2016_TTJets_SingleLeptFromT --> 7,54,8 
Oct19v1_MC_2016_TTJets_SingleLeptFromTbar --> 16,61,4 
Oct19v3_MC_2016_TTJets_SingleLeptFromTbar_ext1 --> 22,170,13 

Oct19v1_MC_2017_ST_s-channel --> 1,4,0 
Oct19v2_MC_2017_ST_s-channel_PS --> 1,5,0 
Oct19v1_MC_2017_ST_t-channel_top --> 1,1,0 
Oct19v2_MC_2017_ST_t-channel_top_PS --> 1,6,2 
Oct19v1_MC_2017_ST_t-channel_antitop --> 0,1,0 
Oct19v2_MC_2017_ST_t-channel_antitop_PS --> 0,8,0 
Oct19v3_MC_2017_ST_tW_top --> 5,23,236 
Oct19v1_MC_2017_ST_tW_top_PS --> 3,27,216 
Oct19v1_MC_2017_ST_tW_antitop --> 2,20,231 
Oct19v1_MC_2017_ST_tW_antitop_PS --> 9,19,236 
Oct19v1_MC_2017_ST_tWll --> 3050,890,2629 
Oct19v1_MC_2017_TTJets_DiLept --> 144,696,19865 
Oct19v1_MC_2017_TTJets_SingleLeptFromT --> 75,305,48 
Oct19v1_MC_2017_TTJets_SingleLeptFromTbar --> 82,397,51 

Oct19v1_MC_2018_ST_s-channel --> 0,6,2 
Oct19v2_MC_2018_ST_t-channel_top --> 2,5,0 
Oct19v3_MC_2018_ST_t-channel_antitop --> 3,14,2 
Oct19v3_MC_2018_ST_tW_top --> 6,23,227 
Oct19v1_MC_2018_ST_tW_antitop --> 3,27,217 
Oct19v1_MC_2018_ST_tWll --> 713,211,542 
Oct19v1_MC_2018_TTJets_DiLept --> 135,744,17073 
Oct19v1_MC_2018_TTJets_SingleLeptFromT --> 51,329,41 
Oct19v2_MC_2018_TTJets_SingleLeptFromTbar --> 38,245,20 

****

ggH - DONE SR, fake, flip

Oct19v1_MC_2016_GluGluHToTauTau --> 1,1,7 
Oct19v1_MC_2016_GluGluHToZZTo4L --> 65,21,63 
Oct19v1_MC_2016_GluGluHToWWToLNuQQ --> 0,0,0 
Oct19v1_MC_2016_GluGluHToWWTo2L2Nu --> 0,0,3 
Oct19v1_MC_2016_GluGluHToMuMu --> 0,0,7 
Oct19v1_MC_2016_GluGluHToBB --> 0,0,0 
Oct19v6_MC_2016_GluGluHToBB_ext1 --> 0,0,0 
Oct19v1_MC_2016_GluGluHToGG --> 0,0,0 

Oct19v1_MC_2017_GluGluHToTauTau --> 0,0,1 
Oct19v3_MC_2017_GluGluHToTauTau_ext1 --> 0,0,8 
Oct19v1_MC_2017_GluGluHToZZTo4L_ext1 --> 50,26,69 
Oct19v2_MC_2017_GluGluHToZZTo4L_ext3 --> 57,40,65 
Oct19v1_MC_2017_GluGluHToZZTo4L_ext4 --> 53,40,69 
Oct19v2_MC_2017_GluGluHToZZTo2L2Q --> 0,0,13 
Oct19v1_MC_2017_GluGluHToWWToLNuQQ --> 0,0,0 
Oct19v1_MC_2017_GluGluHToWWTo2L2Nu --> 0,0,6 
Oct19v3_MC_2017_GluGluHToMuMu --> 0,0,0 
Oct19v1_MC_2017_GluGluHToMuMu_ext1 --> 0,0,0 
Oct19v2_MC_2017_GluGluHToBB --> 0,0,0 
